Price,Close,High,Low,Open,Volume
Ticker,SPGI,SPGI,SPGI,SPGI,SPGI
Date,,,,,
2000-11-01,20.95954704284668,21.020240711889674,20.352610352416757,20.71677236667471,1299600
2000-11-02,21.02025604248047,21.04048728024994,20.63586252486052,20.898868615863645,720800
2000-11-03,20.372844696044922,21.000012705555736,20.312151017705165,21.000012705555736,1033600
2000-11-06,20.393075942993164,20.696544335001988,20.25145736005571,20.47400084752885,1166000
2000-11-07,20.150304794311523,20.33238586173,19.867067578327227,20.31215463201684,1150400
2000-11-08,20.008682250976562,20.271688185519228,19.94798857377441,20.21099450831707,768400
2000-11-09,19.219661712646484,19.84682962116442,19.057811929803144,19.745673506887336,1542600
2000-11-10,19.442214965820312,19.867070859974557,19.26013386832564,19.26013386832564,1038800
2000-11-13,19.13874053955078,19.66475243598664,19.09827808597879,19.421977714554703,743800
2000-11-14,19.583833694458008,19.806377259167757,19.1994402645048,19.381521362903687,960000
2000-11-15,18.895967483520508,19.118510997780387,18.77458011210603,18.77458011210603,1546600
2000-11-16,18.552038192749023,18.93643156860751,18.450882041207315,18.65319434429073,1427800
2000-11-17,18.79480743408203,19.037582126449077,18.59249519044283,18.693651312262432,844000
2000-11-20,18.713886260986328,18.89596731649863,18.673423804205818,18.713886260986328,474200
2000-11-21,18.369956970214844,18.612731731935746,18.32949450992803,18.491344351075295,911600
2000-11-22,17.62139320373535,18.430642030542945,17.520237100384403,18.390179589202567,1740400
2000-11-24,17.494606018066406,17.616519648854325,17.027270433379382,17.616519648854325,890600
2000-11-27,17.75874900817871,17.88066261693051,17.433646051507246,17.636835399426914,2000400
2000-11-28,17.514925003051758,17.880665896386947,17.149184109716572,17.880665896386947,2265600
2000-11-29,17.535249710083008,17.860352833329042,17.23046553203985,17.555568655285885,1885800
2000-11-30,17.271100997924805,17.393014652027805,16.90536003561581,17.271100997924805,1278200
2000-12-01,17.43364906311035,17.677476322734275,17.18982180348643,17.31173543329839,976000
2000-12-04,17.291419982910156,17.65716094612095,17.027273731702365,17.332057867711356,1072800
2000-12-05,17.535249710083008,17.697801271706027,17.332060258054238,17.332060258054238,1169000
2000-12-06,17.47429084777832,18.00258336178092,17.352377190700796,17.596204504855844,1649400
2000-12-07,17.47429084777832,17.758756047625877,17.230463533623276,17.51492873347083,1823800
2000-12-08,17.819717407226562,17.921312147290568,17.453976342996143,17.494614239021743,1916000
2000-12-11,17.860349655151367,18.104176954197804,17.555565531343323,17.88066859673857,1348600
2000-12-12,18.36832046508789,18.490234096493342,17.90098487803366,18.00257957087154,1205600
2000-12-13,18.855979919433594,19.059169358220593,18.449601041859594,18.449601041859594,1275600
2000-12-14,18.57151222229004,18.774701633912468,18.449598575316582,18.774701633912468,686800
2000-12-15,18.6731014251709,18.835652906565205,18.287041656859422,18.287041656859422,1833400
2000-12-18,18.36832046508789,18.815337113574543,18.24640683368244,18.591828789331217,1138400
2000-12-19,18.79501724243164,19.48586111945075,18.327681678565774,18.327681678565774,781600
2000-12-20,18.36832046508789,18.754380297871815,18.24640683368244,18.65278560503394,804000
2000-12-21,18.226099014282227,18.795029641260935,18.08386635753755,18.490245376808055,1731400
2000-12-22,18.226099014282227,18.307374818136328,17.880676847902294,18.307374818136328,1570600
2000-12-26,18.266727447509766,18.3276842688029,18.063538043199312,18.266727447509766,681600
2000-12-27,18.347999572753906,18.530870000389328,18.083853399502743,18.32768063634997,1153000
2000-12-28,18.916927337646484,19.09979774155499,18.36831612592097,18.36831612592097,527800
2000-12-29,19.059165954589844,19.2623553570908,18.652787149587926,18.91693337283917,717400
2001-01-02,18.449604034423828,19.01853455530914,18.327690351376972,19.01853455530914,593000
2001-01-03,18.61214828491211,18.81533767666879,18.14481268387174,18.38863995397976,1567400
2001-01-04,19.7906436920166,20.054789860390542,18.693421146463322,18.977886250866025,1434200
2001-01-05,19.46554946899414,19.790652591649575,19.404592633496247,19.750014701317646,1053400
2001-01-08,19.485862731933594,19.546819549656014,19.14044076483988,19.424905914211173,1385000
2001-01-09,18.9372501373291,19.5061803989656,18.815336509835568,19.302991019809706,1879400
2001-01-10,19.18108558654785,19.363956105911125,18.95757717399274,18.95757717399274,942000
2001-01-11,19.445232391357422,19.506189232709637,19.140448184596334,19.140448184596334,913000
2001-01-12,19.50619125366211,19.50619125366211,19.20140701532364,19.445234405994416,1200800
2001-01-16,19.689054489135742,19.892243905948288,19.424908247279433,19.50618401400445,2228400
2001-01-17,20.23766326904297,20.46117159831955,20.034473878791534,20.07511175684182,1569600
2001-01-18,20.136075973510742,20.318946491938185,20.03448124105105,20.197032812986556,1754600
2001-01-19,20.176713943481445,20.298627622898252,19.810972905231026,20.197032890050913,1107600
2001-01-22,19.60778045654297,20.359581365239436,19.262358417412162,20.115754043500043,1669400
2001-01-23,20.07511329650879,20.35957846467794,19.62809660367155,19.62809660367155,1024400
2001-01-24,19.993839263916016,20.27830445669531,19.750011955819478,19.993839263916016,942400
2001-01-25,20.40022087097168,20.48149665133412,19.64841990261914,20.034479859340713,1663400
2001-01-26,20.07511329650879,20.197026940009856,19.42490719783644,20.156389058842834,1024200
2001-01-29,19.97758674621582,20.153142726672208,19.880056059352263,20.07511743307938,1230800
2001-01-30,19.876798629760742,19.99383591647947,19.43465832000983,19.899555742159425,1436400
2001-01-31,20.75783348083496,20.806599444350645,20.026351469119508,20.221414083012277,1420600
2001-02-01,20.53351402282715,20.757834740235147,20.40997448388345,20.67981068208021,1249800
2001-02-02,20.832599639892578,21.00165209884305,20.55626136164734,20.562763570094585,1079400
2001-02-05,20.93013572692871,21.04717303599811,20.520506385355663,20.692811863783323,1269000
2001-02-06,20.696067810058594,21.017920494927136,20.66030626283207,20.93014124979281,1761800
2001-02-07,20.045856475830078,20.588779280911073,19.928819165026038,20.562770438434676,1571800
2001-02-08,20.05560874938965,20.15964163676501,19.993839610063603,20.013346241510174,1218800
2001-02-09,20.26692008972168,20.416467164850545,19.83128204117756,20.23766077152956,874800
2001-02-12,20.43597412109375,20.51074765986828,20.276673110543154,20.400212593816914,1028000
2001-02-13,20.335193634033203,20.39371227679229,19.993835711384943,19.993835711384943,2124600
